factor_key,country_code,country_name,year,method,unit,value_kg_co2e_per_kwh,source_ref,status,notes
electricity_be_1990_lc,BE,Belgium,1990,CoM Table3 EU LC GHG,kg CO2e/kWh,0.471568443081213,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1990
electricity_be_1991_lc,BE,Belgium,1991,CoM Table3 EU LC GHG,kg CO2e/kWh,0.457397686564757,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1991
electricity_be_1992_lc,BE,Belgium,1992,CoM Table3 EU LC GHG,kg CO2e/kWh,0.4511909748316,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1992
electricity_be_1993_lc,BE,Belgium,1993,CoM Table3 EU LC GHG,kg CO2e/kWh,0.453326831584694,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1993
electricity_be_1994_lc,BE,Belgium,1994,CoM Table3 EU LC GHG,kg CO2e/kWh,0.475234250186601,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1994
electricity_be_1995_lc,BE,Belgium,1995,CoM Table3 EU LC GHG,kg CO2e/kWh,0.462116406881756,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1995
electricity_be_1996_lc,BE,Belgium,1996,CoM Table3 EU LC GHG,kg CO2e/kWh,0.442781234490191,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1996
electricity_be_1997_lc,BE,Belgium,1997,CoM Table3 EU LC GHG,kg CO2e/kWh,0.396771040639538,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1997
electricity_be_1998_lc,BE,Belgium,1998,CoM Table3 EU LC GHG,kg CO2e/kWh,0.421502739038122,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1998
electricity_be_1999_lc,BE,Belgium,1999,CoM Table3 EU LC GHG,kg CO2e/kWh,0.370806481503376,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1999
electricity_be_2000_lc,BE,Belgium,2000,CoM Table3 EU LC GHG,kg CO2e/kWh,0.366284073314356,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2000
electricity_be_2001_lc,BE,Belgium,2001,CoM Table3 EU LC GHG,kg CO2e/kWh,0.344562033794934,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2001
electricity_be_2002_lc,BE,Belgium,2002,CoM Table3 EU LC GHG,kg CO2e/kWh,0.340860191972119,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2002
electricity_be_2003_lc,BE,Belgium,2003,CoM Table3 EU LC GHG,kg CO2e/kWh,0.351606360680146,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2003
electricity_be_2004_lc,BE,Belgium,2004,CoM Table3 EU LC GHG,kg CO2e/kWh,0.357100903920462,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2004
