mode,type,accuracy
ADAPTIVERAG,logic,0.7084745762711865
ADAPTIVERAG,open,1.0
ADAPTIVERAG,recall,1.0
BASE,logic,0.19661016949152543
BASE,open,0.0
BASE,recall,0.0
MEM,logic,0.013559322033898305
MEM,open,0.5319982585981715
MEM,recall,0.5842293906810035
MEMSYM,logic,0.7084745762711865
MEMSYM,open,0.5319982585981715
MEMSYM,recall,0.6571087216248507
RAG_BASE,logic,0.010169491525423728
RAG_BASE,open,1.0
RAG_BASE,recall,0.9283154121863799
RL,logic,0.003389830508474576
RL,open,1.0
RL,recall,0.927120669056153
ROUTER,logic,0.7932203389830509
ROUTER,open,0.0
ROUTER,recall,0.07646356033452807
SYM_ONLY,logic,0.9050847457627119
SYM_ONLY,open,0.0
SYM_ONLY,recall,0.07646356033452807
