mode,domain,type,n,acc,ci_lo,ci_hi
ADAPTIVERAG,battery,logic,93,0.7311827956989247,0.6332358773962905,0.8107881783813919
ADAPTIVERAG,battery,open,646,1.0,0.9940884055437511,1.0
ADAPTIVERAG,battery,recall,331,1.0,0.9885271125212638,1.0
ADAPTIVERAG,lexmark,logic,76,0.8421052631578947,0.7439836132582393,0.9073059400573255
ADAPTIVERAG,lexmark,open,749,1.0,0.9948972001547204,0.9999999999999999
ADAPTIVERAG,lexmark,recall,111,1.0,0.9665487070887205,1.0
ADAPTIVERAG,viessmann,logic,126,0.6111111111111112,0.5239056154167172,0.6917417579982748
ADAPTIVERAG,viessmann,open,902,1.0,0.9957590819410368,0.9999999999999999
ADAPTIVERAG,viessmann,recall,395,1.0,0.9903681060350775,1.0
BASE,battery,logic,93,0.20430107526881722,0.1348753753056426,0.2971868789322056
BASE,battery,open,646,0.0,0.0,0.005911594456249031
BASE,battery,recall,331,0.0,0.0,0.011472887478736215
BASE,lexmark,logic,76,0.14473684210526316,0.08278431339921274,0.24087653508077764
BASE,lexmark,open,749,0.0,0.0,0.005102799845279537
BASE,lexmark,recall,111,0.0,0.0,0.03345129291127953
BASE,viessmann,logic,126,0.2222222222222222,0.15845942425845522,0.3024221422040653
BASE,viessmann,open,902,0.0,0.0,0.004240918058963067
BASE,viessmann,recall,395,0.0,0.0,0.009631893964922415
MEM,battery,logic,93,0.043010752688172046,0.016850881320861148,0.10542714795581334
MEM,battery,open,646,0.5170278637770898,0.4785059228085214,0.5553484810954453
MEM,battery,recall,331,0.6616314199395771,0.6090627956531353,0.7104912860380287
MEM,lexmark,logic,76,0.0,0.0,0.04811526823109757
MEM,lexmark,open,749,0.43658210947930576,0.4014757578465512,0.4723356787159342
MEM,lexmark,recall,111,0.22522522522522523,0.15746423838098933,0.31136935502070484
MEM,viessmann,logic,126,0.0,0.0,0.029586819632536877
MEM,viessmann,open,902,0.6219512195121951,0.5898519882494324,0.653016080516674
MEM,viessmann,recall,395,0.620253164556962,0.5714500675091533,0.6667397301448527
MEMSYM,battery,logic,93,0.7311827956989247,0.6332358773962905,0.8107881783813919
MEMSYM,battery,open,646,0.5170278637770898,0.4785059228085214,0.5553484810954453
MEMSYM,battery,recall,331,0.7069486404833837,0.655763469015211,0.7533852150192699
MEMSYM,lexmark,logic,76,0.8421052631578947,0.7439836132582393,0.9073059400573255
MEMSYM,lexmark,open,749,0.43658210947930576,0.4014757578465512,0.4723356787159342
MEMSYM,lexmark,recall,111,0.36936936936936937,0.2853587441928346,0.46211952152272495
MEMSYM,viessmann,logic,126,0.6111111111111112,0.5239056154167172,0.6917417579982748
MEMSYM,viessmann,open,902,0.6219512195121951,0.5898519882494324,0.653016080516674
MEMSYM,viessmann,recall,395,0.6962025316455697,0.6491379478739272,0.7394875114562931
RAG_BASE,battery,logic,93,0.03225806451612903,0.011030412935116203,0.09059533467748004
RAG_BASE,battery,open,646,1.0,0.9940884055437511,1.0
RAG_BASE,battery,recall,331,0.9516616314199395,0.922929293953331,0.9700302427350614
RAG_BASE,lexmark,logic,76,0.0,0.0,0.04811526823109757
RAG_BASE,lexmark,open,749,1.0,0.9948972001547204,0.9999999999999999
RAG_BASE,lexmark,recall,111,0.8648648648648649,0.7889529841041635,0.9163663426903083
RAG_BASE,viessmann,logic,126,0.0,0.0,0.029586819632536877
RAG_BASE,viessmann,open,902,1.0,0.9957590819410368,0.9999999999999999
RAG_BASE,viessmann,recall,395,0.9265822784810127,0.8965482746221286,0.9483986917926085
RL,battery,logic,93,0.010752688172043012,0.001900593097955601,0.05842059118648415
RL,battery,open,646,1.0,0.9940884055437511,1.0
RL,battery,recall,331,0.9516616314199395,0.922929293953331,0.9700302427350614
RL,lexmark,logic,76,0.0,0.0,0.04811526823109757
RL,lexmark,open,749,1.0,0.9948972001547204,0.9999999999999999
RL,lexmark,recall,111,0.8558558558558559,0.7786184580786779,0.9092855766961772
RL,viessmann,logic,126,0.0,0.0,0.029586819632536877
RL,viessmann,open,902,1.0,0.9957590819410368,0.9999999999999999
RL,viessmann,recall,395,0.9265822784810127,0.8965482746221286,0.9483986917926085
ROUTER,battery,logic,93,0.8387096774193549,0.7507967733749072,0.8997500990435576
ROUTER,battery,open,646,0.0,0.0,0.005911594456249031
ROUTER,battery,recall,331,0.04833836858006042,0.02996975726493861,0.07707070604666903
ROUTER,lexmark,logic,76,0.9868421052631579,0.929161553705025,0.9976735798594324
ROUTER,lexmark,open,749,0.0,0.0,0.005102799845279537
ROUTER,lexmark,recall,111,0.16216216216216217,0.10510689256844916,0.2418196566959289
ROUTER,viessmann,logic,126,0.6428571428571429,0.5561031427473888,0.7211577659290294
ROUTER,viessmann,open,902,0.0,0.0,0.004240918058963067
ROUTER,viessmann,recall,395,0.0759493670886076,0.05371536323496098,0.10635219240617577
SYM_ONLY,battery,logic,93,0.9354838709677419,0.8663184315371988,0.9700989758579701
SYM_ONLY,battery,open,646,0.0,0.0,0.005911594456249031
SYM_ONLY,battery,recall,331,0.04833836858006042,0.02996975726493861,0.07707070604666903
SYM_ONLY,lexmark,logic,76,0.9868421052631579,0.929161553705025,0.9976735798594324
SYM_ONLY,lexmark,open,749,0.0,0.0,0.005102799845279537
