mode,type,n,accuracy,ci95_lo,ci95_hi
ADAPTIVERAG,logic,295,0.7084745762711865,0.6541978734762196,0.7573914099434919
ADAPTIVERAG,open,2297,1.0,0.9983303500771196,1.0
ADAPTIVERAG,recall,837,1.0,0.9954312441249338,1.0
BASE,logic,295,0.1966101694915254,0.1552806844400734,0.2457397892824605
BASE,open,2297,0.0,0.0,0.0016696499228803
BASE,recall,837,0.0,4.336808689942019e-19,0.0045687558750661
MEM,logic,295,0.0135593220338983,0.0052851663179451,0.0343398390360618
MEM,open,2297,0.5319982585981715,0.5115559681100196,0.5523336973063219
MEM,recall,837,0.5842293906810035,0.5505290511475992,0.6171600831673537
MEMSYM,logic,295,0.7084745762711865,0.6541978734762196,0.7573914099434919
MEMSYM,open,2297,0.5319982585981715,0.5115559681100196,0.5523336973063219
MEMSYM,recall,837,0.6571087216248507,0.6242983624797269,0.6884834979800791
RAG_BASE,logic,295,0.0101694915254237,0.0034643938938835,0.0294681027866321
RAG_BASE,open,2297,1.0,0.9983303500771196,1.0
RAG_BASE,recall,837,0.92831541218638,0.9088125657086716,0.9439045215524724
RL,logic,295,0.0033898305084745,0.0005986237528442,0.0189488555806889
RL,open,2297,1.0,0.9983303500771196,1.0
RL,recall,837,0.927120669056153,0.907491323675876,0.942847194304205
ROUTER,logic,295,0.7932203389830509,0.7433781907531559,0.8355238095038365
ROUTER,open,2297,0.0,0.0,0.0016696499228803
ROUTER,recall,837,0.076463560334528,0.0603327247946296,0.0964644650684789
SYM_ONLY,logic,295,0.905084745762712,0.8662405070448214,0.933514279437382
SYM_ONLY,open,2297,0.0,0.0,0.0016696499228803
SYM_ONLY,recall,837,0.076463560334528,0.0603327247946296,0.0964644650684789
ADAPTIVERAG,all,3429,0.9749198016914552,0.9691304695750892,0.9796461940495884
BASE,all,3429,0.0169145523476232,0.0131076660891616,0.0218026542705076
MEM,all,3429,0.5001458151064451,0.4834193791549789,0.5168719247024435
MEMSYM,all,3429,0.5777194517351998,0.5611092749745488,0.5941556810315776
RAG_BASE,all,3429,0.8973461650627005,0.8867387172845568,0.907064294191417
RL,all,3429,0.8964712744240303,0.8858266824716171,0.9062285058598224
ROUTER,all,3429,0.0869058034412365,0.0779332725752795,0.0968028993471302
SYM_ONLY,all,3429,0.0965296004666083,0.0870917228361286,0.1068705036761579
