mode,domain,aurc
ADAPTIVERAG,battery,0.012167001484845813
ADAPTIVERAG,lexmark,0.006917050186280934
ADAPTIVERAG,pooled,0.011687533663133185
ADAPTIVERAG,viessmann,0.01627390392453268
BASE,battery,0.9911214953271028
BASE,lexmark,0.9941239316239316
BASE,pooled,0.9915427238261885
BASE,viessmann,0.9901616303583978
MEM,battery,0.32551591159077414
MEM,lexmark,0.3588171788045684
MEM,pooled,0.3469347339876194
MEM,viessmann,0.35577741869380497
MEMSYM,battery,0.13453849079416208
MEMSYM,lexmark,0.19690376397107162
MEMSYM,pooled,0.13871746914614896
MEMSYM,viessmann,0.10948259731643424
RAG_BASE,battery,0.5495327102803738
RAG_BASE,lexmark,0.5486111111111112
RAG_BASE,pooled,0.5513269174686497
RAG_BASE,viessmann,0.5544624033731553
RL,battery,0.3906113318663313
RL,lexmark,0.49806710000064747
RL,pooled,0.42272646787023627
RL,viessmann,0.4007622310850506
ROUTER,battery,0.4681420622111065
ROUTER,lexmark,0.4652883619229773
ROUTER,pooled,0.4666658331944921
ROUTER,viessmann,0.46642822216200047
SYM_ONLY,battery,0.4556476548170145
SYM_ONLY,lexmark,0.45467277558623714
SYM_ONLY,pooled,0.45557780415972354
SYM_ONLY,viessmann,0.45613179523825276
