domain,type,split,n
_backup_20260131_170546,logic,dev,42
_backup_20260131_170546,open,dev,608
_backup_20260131_170546,qa,dev,28
_backup_20260131_170546,recall,dev,484
_backup_20260131_170546,logic,test,73
_backup_20260131_170546,open,test,1473
_backup_20260131_170546,qa,test,65
_backup_20260131_170546,recall,test,1095
battery,logic,dev,29
battery,open,dev,260
battery,qa,dev,9
battery,recall,dev,149
battery,logic,test,68
battery,open,test,646
battery,qa,test,25
battery,recall,test,331
lexmark,logic,dev,23
lexmark,open,dev,303
lexmark,qa,dev,8
lexmark,recall,dev,44
lexmark,logic,test,64
lexmark,open,test,749
lexmark,qa,test,12
lexmark,recall,test,111
viessmann,logic,dev,38
viessmann,open,dev,379
viessmann,qa,dev,23
viessmann,recall,dev,184
viessmann,logic,test,77
viessmann,open,test,902
viessmann,qa,test,49
viessmann,recall,test,395
