mode,domain,threshold,coverage,accuracy,risk,n
ADAPTIVERAG,battery,0.0,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.02,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.04,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.06,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.08,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.1,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.12,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.14,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.16,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.18,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.2,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.22,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.24,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.26,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.28,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.3,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.32,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.34,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.36,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.38,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.4,1.0,0.9766355140186916,0.02336448598130836,1070
ADAPTIVERAG,battery,0.42,0.07850467289719626,1.0,0.0,84
ADAPTIVERAG,battery,0.44,0.07850467289719626,1.0,0.0,84
ADAPTIVERAG,battery,0.46,0.07850467289719626,1.0,0.0,84
ADAPTIVERAG,battery,0.48,0.07850467289719626,1.0,0.0,84
ADAPTIVERAG,battery,0.5,0.07850467289719626,1.0,0.0,84
ADAPTIVERAG,battery,0.52,0.07850467289719626,1.0,0.0,84
ADAPTIVERAG,battery,0.54,0.07850467289719626,1.0,0.0,84
ADAPTIVERAG,battery,0.56,0.07850467289719626,1.0,0.0,84
ADAPTIVERAG,battery,0.58,0.07850467289719626,1.0,0.0,84
