mode,threshold,coverage,accuracy,risk,n
ADAPTIVERAG,0.0,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.02,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.04,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.06,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.08,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.1,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.12,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.14,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.16,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.18,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.2,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.22,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.24,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.26,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.28,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.3,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.32,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.34,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.36,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.38,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.4,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.42,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.44,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.46,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.48,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.5,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.52,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.54,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.56,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.58,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.6,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.62,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.64,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.66,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.68,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.7,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.72,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.74,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.76,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.78,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.8,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.82,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.84,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.86,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.88,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.9,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.92,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.94,1.0,0.9631410256410257,0.03685897435897434,624
ADAPTIVERAG,0.96,0.10096153846153846,1.0,0.0,63
