mode,target_coverage,coverage,accuracy,risk,n
ADAPTIVERAG,0.3,0.10096153846153846,1.0,0.0,63
ADAPTIVERAG,0.5,0.10096153846153846,1.0,0.0,63
ADAPTIVERAG,0.7,1.0,0.9631410256410257,0.03685897435897434,624
BASE,0.3,0.0,0.0,1.0,0
BASE,0.5,0.0,0.0,1.0,0
BASE,0.7,1.0,0.019230769230769232,0.9807692307692307,624
MEM,0.3,0.38621794871794873,0.975103734439834,0.024896265560165998,241
MEM,0.5,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.7,1.0,0.5737179487179487,0.4262820512820513,624
MEMSYM,0.3,0.48717948717948717,0.9802631578947368,0.019736842105263164,304
MEMSYM,0.5,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
MEMSYM,0.7,0.49198717948717946,0.9706840390879479,0.02931596091205213,307
RAG_BASE,0.3,0.0,0.0,1.0,0
RAG_BASE,0.5,0.0,0.0,1.0,0
RAG_BASE,0.7,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.3,0.0,0.0,1.0,0
RL,0.5,0.9487179487179487,0.8716216216216216,0.1283783783783784,592
RL,0.7,0.9487179487179487,0.8716216216216216,0.1283783783783784,592
ROUTER,0.3,0.0,0.0,1.0,0
ROUTER,0.5,0.0,0.0,1.0,0
ROUTER,0.7,1.0,0.8637820512820513,0.13621794871794868,624
SYM_ONLY,0.3,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.5,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.7,1.0,0.1201923076923077,0.8798076923076923,624
