scope,compare,n_rl,n_b,acc_rl,acc_b,delta,cohens_h
overall,RL_vs_BASE,508,508,0.061,0.0059,0.0551,0.3454
viessmann,RL_vs_BASE,508,508,0.061,0.0059,0.0551,0.3454
overall,RL_vs_MEM,508,508,0.061,0.0787,-0.0177,-0.0696
viessmann,RL_vs_MEM,508,508,0.061,0.0787,-0.0177,-0.0696
overall,RL_vs_SYM,508,508,0.061,0.0039,0.0571,0.3737
viessmann,RL_vs_SYM,508,508,0.061,0.0039,0.0571,0.3737
overall,RL_vs_MEMSYM,508,508,0.061,0.0807,-0.0197,-0.0769
viessmann,RL_vs_MEMSYM,508,508,0.061,0.0807,-0.0197,-0.0769
overall,RL_vs_ROUTER,508,508,0.061,0.0787,-0.0177,-0.0696
viessmann,RL_vs_ROUTER,508,508,0.061,0.0787,-0.0177,-0.0696
overall,RL_vs_ADAPTIVERAG,508,508,0.061,0.0787,-0.0177,-0.0696
viessmann,RL_vs_ADAPTIVERAG,508,508,0.061,0.0787,-0.0177,-0.0696
