mode,type,accuracy
ADAPTIVERAG,logic,0.12886405959031658
ADAPTIVERAG,open,0.0066985645933014355
ADAPTIVERAG,recall,0.03552601421040569
BASE,logic,0.00409683426443203
BASE,open,0.0
BASE,recall,0.0
MEM,logic,0.12886405959031658
MEM,open,0.0066985645933014355
MEM,recall,0.03552601421040569
MEMSYM,logic,0.12886405959031658
MEMSYM,open,0.0066985645933014355
MEMSYM,recall,0.03575521430208572
RL,logic,0.07560521415270019
RL,open,0.0066985645933014355
RL,recall,0.016044006417602567
ROUTER,logic,0.12886405959031658
ROUTER,open,0.0066985645933014355
ROUTER,recall,0.03552601421040569
SYM,logic,0.0
SYM,open,0.003827751196172249
SYM,recall,0.0009168003667201467
