mode,type,accuracy
ADAPTIVERAG,logic,0.27225130890052357
ADAPTIVERAG,open,0.5833333333333334
ADAPTIVERAG,recall,0.07616974972796518
BASE,logic,0.011518324607329843
BASE,open,0.0
BASE,recall,0.0
MEM,logic,0.27225130890052357
MEM,open,0.5833333333333334
MEM,recall,0.07616974972796518
MEMSYM,logic,0.27225130890052357
MEMSYM,open,0.5833333333333334
MEMSYM,recall,0.07725788900979326
RL,logic,0.18324607329842932
RL,open,0.5833333333333334
RL,recall,0.051142546245919476
ROUTER,logic,0.27225130890052357
ROUTER,open,0.5833333333333334
ROUTER,recall,0.07616974972796518
SYM,logic,0.0
SYM,open,0.3333333333333333
SYM,recall,0.004352557127312296
